,Access Order,ID,Name,Continent,Country,Web Link,Star Rating,Elevation Change (m),Base Elevation (m),Max Elevation (m),Total Piste Length (km),Blue Piste Length (km),Red Piste Length (km),Black Piste Length (km),Ski Lifts,Ski Pass Cost,Photo URL,Photo,Page Link
2310,2311,2181,Col d'Ornon,Europe,France,https://www.skiresort.info/ski-resort/col-dornon/,2.2,650 m,1350 m,2000 m,4.5 km,1.6 km,1.5 km,1.4 km,4 ski lifts,"€ 12,-",https://www.skiresort.info/typo3temp/assets/_processed_/27/77/77/72/a77910cdf6.jpg,Col_d'Ornon_IDresort2181.jpg,https://www.skiresort.info/ski-resorts/page/13/
2311,2312,30879,Muica,Asia,Japan,https://www.skiresort.info/ski-resort/muica/,,396 m,347 m,743 m,8.4 km,3.8 km,3.2 km,1.4 km,4 ski lifts,"¥ 3900,- / approx. € 30,-",https://www.skiresort.info/typo3temp/_processed_/1a/a1/15/57/588b1ab86f.jpg,Muica_IDresort30879.jpg,https://www.skiresort.info/ski-resorts/page/13/
2312,2313,3449,Schilt – Mollis,Europe,Switzerland,https://www.skiresort.info/ski-resort/schilt-mollis/,2.2,502 m,1100 m,1602 m,6 km,3 km,3 km,0 km,2 ski lifts,"SFr. 33,- / approx. € 30,-",https://www.skiresort.info/typo3temp/_processed_/41/1d/da/a8/cf0af15c04.jpg,Schilt_–_Mollis_IDresort3449.jpg,https://www.skiresort.info/ski-resorts/page/13/
2313,2314,33430,SarvesAlta,Europe,Norway,https://www.skiresort.info/ski-resort/sarvesalta/,2.2,210 m,60 m,270 m,5.5 km,2.8 km,2 km,0.7 km,2 ski lifts,"NOK 390,- / approx. € 39,-",https://www.skiresort.info/typo3temp/assets/_processed_/94/43/38/8f/cc41dd9eaf.jpg,SarvesAlta_IDresort33430.jpg,https://www.skiresort.info/ski-resorts/page/13/
2314,2315,2399,Faqra,Asia,Lebanon,https://www.skiresort.info/ski-resort/faqra/,,240 m,1735 m,1975 m,7 km,2 km,4 km,1 km,4 ski lifts,"LBP 60400,- / approx. € 33,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2315,2316,3802,Orsa Grönklitt,Europe,Sweden,https://www.skiresort.info/ski-resort/orsa-groenklitt/,,140 m,450 m,590 m,7 km,4 km,2 km,1 km,15 ski lifts,"Skr 425,- / approx. € 42,-",https://www.skiresort.info/typo3temp/_processed_/20/01/12/22/fbad148a1f.jpg,Orsa_Grönklitt_IDresort3802.jpg,https://www.skiresort.info/ski-resorts/page/13/
2316,2317,10818,Ski Mountain Park – São Roque (dry slopes),South America,Brazil,https://www.skiresort.info/ski-resort/ski-mountain-park-sao-roque/,2.2,30 m,1200 m,1230 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"R$ 80,- / approx. € 12,-",https://www.skiresort.info/typo3temp/assets/_processed_/b3/39/93/36/322a3f4dd5.jpg,Ski_Mountain_Park_–_São_Roque_(dry_slopes)_IDresort10818.jpg,https://www.skiresort.info/ski-resorts/page/13/
2317,2318,11355,Iasi,Europe,Romania,https://www.skiresort.info/ski-resort/iasi/,2.2,70 m,50 m,120 m,0.5 km,0.5 km,0 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2318,2319,2794,Ikenotaira Onsen,Asia,Japan,https://www.skiresort.info/ski-resort/ikenotaira-onsen/,,728 m,759 m,1487 m,,,,,,,https://www.skiresort.info/typo3temp/_processed_/4e/e6/66/68/151f1c7884.jpg,Ikenotaira_Onsen_IDresort2794.jpg,https://www.skiresort.info/ski-resorts/page/13/
2319,2320,3696,Nobeyama,Asia,Japan,https://www.skiresort.info/ski-resort/nobeyama/,,210 m,1400 m,1610 m,8 km,3 km,4 km,1 km,4 ski lifts,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2320,2321,2985,Telegraf – Kielce,Europe,Poland,https://www.skiresort.info/ski-resort/telegraf-kielce/,2.2,90 m,316 m,406 m,0.5 km,0 km,0.5 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2321,2322,4333,Shizuokashi Riverwell Ikawa,Asia,Japan,https://www.skiresort.info/ski-resort/shizuokashi-riverwell-ikawa/,2.2,29 m,1412 m,1441 m,0.3 km,0.3 km,0 km,0 km,2 ski lifts,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2322,2323,1584,Čertovica,Europe,Slovakia,https://www.skiresort.info/ski-resort/certovica/,2.2,340 m,1120 m,1460 m,5.4 km,3 km,2 km,0.4 km,6 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/24/4c/cc/c5/2ddf0af059.jpg,Čertovica_IDresort1584.jpg,https://www.skiresort.info/ski-resorts/page/13/
2323,2324,3284,Maarianrinteet (temporarily closed),Europe,Finland,https://www.skiresort.info/ski-resort/maarianrinteet/,,140 m,100 m,240 m,8 km,3 km,4 km,1 km,4 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/93/39/9c/c4/9eb665e61f.jpg,Maarianrinteet_(temporarily_closed)_IDresort3284.jpg,https://www.skiresort.info/ski-resorts/page/13/
2324,2325,508,Silverton Mountain,North America,USA,https://www.skiresort.info/ski-resort/silverton-mountain/,,643 m,3147 m,3790 m,,,,,,,https://www.skiresort.info/typo3temp/_processed_/52/21/12/26/a124198092.jpg,Silverton_Mountain_IDresort508.jpg,https://www.skiresort.info/ski-resorts/page/13/
2325,2326,5969,Avalanche – Dolní Moravice,Europe,Czech Republic,https://www.skiresort.info/ski-resort/avalanche-dolni-moravice/,2.2,100 m,600 m,700 m,3.5 km,3.5 km,0 km,0 km,3 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/80/05/53/31/42bddd3b17.jpg,Avalanche_–_Dolní_Moravice_IDresort5969.jpg,https://www.skiresort.info/ski-resorts/page/13/
2326,2327,3783,Omoshiroyama,Asia,Japan,https://www.skiresort.info/ski-resort/omoshiroyama/,2.2,92 m,516 m,608 m,0.5 km,0 km,0.5 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2327,2328,30744,Haldigrat,Europe,Switzerland,https://www.skiresort.info/ski-resort/haldigrat/,,707 m,1230 m,1937 m,,,,,,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2328,2329,2407,Feldthurns (Velturno),Europe,Italy,https://www.skiresort.info/ski-resort/feldthurns-velturno/,2.2,115 m,1050 m,1165 m,1.5 km,1 km,0.5 km,0 km,1 ski lift,"€ 15,-",https://www.skiresort.info/typo3temp/_processed_/0c/c5/5a/ac/083cda5141.jpg,Feldthurns_(Velturno)_IDresort2407.jpg,https://www.skiresort.info/ski-resorts/page/13/
2329,2330,10997,Nosal – Bystre,Europe,Poland,https://www.skiresort.info/ski-resort/nosal-bystre/,2.2,286 m,900 m,1186 m,1.2 km,1 km,0.2 km,0 km,5 ski lifts,"PLN 80,- / approx. € 17,-",https://www.skiresort.info/typo3temp/_processed_/d2/29/90/08/2f32389299.jpg,Nosal_–_Bystre_IDresort10997.jpg,https://www.skiresort.info/ski-resorts/page/13/
2330,2331,585,Oedberg – Gmund-Ostin,Europe,Germany,https://www.skiresort.info/ski-resort/oedberg-gmund-ostin/,2.2,170 m,800 m,970 m,2 km,1 km,1 km,0 km,3 ski lifts,"€ 20,-",https://www.skiresort.info/typo3temp/_processed_/89/90/07/7d/8edd1ba994.jpg,Oedberg_–_Gmund-Ostin_IDresort585.jpg,https://www.skiresort.info/ski-resorts/page/13/
2331,2332,1412,Fleckllift – Warmensteinach,Europe,Germany,https://www.skiresort.info/ski-resort/fleckllift-warmensteinach/,2.2,40 m,650 m,690 m,0.3 km,0.3 km,0 km,0 km,1 ski lift,"€ 14,-",https://www.skiresort.info/typo3temp/_processed_/4a/a5/5a/a6/3cbbd00d26.jpg,Fleckllift_–_Warmensteinach_IDresort1412.jpg,https://www.skiresort.info/ski-resorts/page/13/
2332,2333,1533,Gaberl/Plankogel – Salla (Maria Lankowitz),Europe,Austria,https://www.skiresort.info/ski-resort/gaberlplankogel-salla-maria-lankowitz/,2.2,248 m,1303 m,1551 m,6.9 km,3.8 km,2.7 km,0.4 km,3 ski lifts,"€ 26,-",https://www.skiresort.info/typo3temp/assets/_processed_/10/00/0b/b1/ba7a71431e.jpeg,Gaberl/Plankogel_–_Salla_(Maria_Lankowitz)_IDresort1533.jpg,https://www.skiresort.info/ski-resorts/page/13/
2333,2334,5894,Flottsbro Alpin,Europe,Sweden,https://www.skiresort.info/ski-resort/flottsbro-alpin/,2.2,100 m,3 m,103 m,2.7 km,1.3 km,1.4 km,0 km,3 ski lifts,"Skr 320,- / approx. € 32,-",https://www.skiresort.info/typo3temp/_processed_/94/45/5a/a9/30d3974490.jpg,Flottsbro_Alpin_IDresort5894.jpg,https://www.skiresort.info/ski-resorts/page/13/
2334,2335,3229,Miroslav – Lipová Lázně,Europe,Czech Republic,https://www.skiresort.info/ski-resort/miroslav-lipova-lazne/,2.2,180 m,570 m,750 m,2.9 km,2.1 km,0.8 km,0 km,4 ski lifts,"CZK 490,- / approx. € 19,-",https://www.skiresort.info/typo3temp/_processed_/e9/99/96/6f/5180408b33.jpg,Miroslav_–_Lipová_Lázně_IDresort3229.jpg,https://www.skiresort.info/ski-resorts/page/13/
2335,2336,11205,Henryk,Europe,Poland,https://www.skiresort.info/ski-resort/henryk/,2.2,70 m,600 m,670 m,1.8 km,1.8 km,0 km,0 km,4 ski lifts,"PLN 80,- / approx. € 17,-",https://www.skiresort.info/typo3temp/assets/_processed_/6e/eb/be/e8/e2c291a9fc.jpg,Henryk_IDresort11205.jpg,https://www.skiresort.info/ski-resorts/page/13/
2336,2337,501,Tegelberg – Schwangau,Europe,Germany,https://www.skiresort.info/ski-resort/tegelberg-schwangau/,2.2,900 m,830 m,1730 m,2.9 km,1.9 km,1 km,0 km,5 ski lifts,"€ 26,-",https://www.skiresort.info/typo3temp/_processed_/58/80/03/36/3487eadaa6.jpg,Tegelberg_–_Schwangau_IDresort501.jpg,https://www.skiresort.info/ski-resorts/page/13/
2337,2338,27637,Salma,Russia,Northwest Russia,https://www.skiresort.info/ski-resort/salma/,2.2,240 m,140 m,380 m,5.2 km,2.6 km,2.2 km,0.4 km,3 ski lifts,"RUB 905,- / approx. € 10,-",https://www.skiresort.info/typo3temp/_processed_/a2/25/55/5c/36afcf95da.jpg,Salma_IDresort27637.jpg,https://www.skiresort.info/ski-resorts/page/13/
2338,2339,2272,Springenboden,Europe,Switzerland,https://www.skiresort.info/ski-resort/springenboden/,2.2,318 m,1207 m,1525 m,6 km,1.5 km,4 km,0.5 km,3 ski lifts,"SFr. 28,- / approx. € 25,-",https://www.skiresort.info/typo3temp/_processed_/b2/2b/b8/88/e901c531df.jpg,Springenboden_IDresort2272.jpg,https://www.skiresort.info/ski-resorts/page/13/
2339,2340,28257,Brüsti – Attinghausen,Europe,Switzerland,https://www.skiresort.info/ski-resort/bruesti-attinghausen/,2.2,173 m,1420 m,1593 m,1.5 km,1 km,0.5 km,0 km,3 ski lifts,"SFr. 22,- / approx. € 20,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2340,2341,587,Pfänder – Bregenz,Europe,Austria,https://www.skiresort.info/ski-resort/pfaender-bregenz/,2.2,643 m,421 m,1064 m,3 km,3 km,0 km,0 km,4 ski lifts,€ 20.30,https://www.skiresort.info/typo3temp/_processed_/3f/f3/3b/b0/d5ebf88032.jpg,Pfänder_–_Bregenz_IDresort587.jpg,https://www.skiresort.info/ski-resorts/page/13/
2341,2342,11315,Vierli – Rauland,Europe,Norway,https://www.skiresort.info/ski-resort/vierli-rauland/,2.2,153 m,956 m,1109 m,6.6 km,3 km,3 km,0.6 km,5 ski lifts,"NOK 500,- / approx. € 49,-",https://www.skiresort.info/typo3temp/assets/_processed_/d6/61/13/39/ff68a4c198.jpg,Vierli_–_Rauland_IDresort11315.jpg,https://www.skiresort.info/ski-resorts/page/13/
2342,2343,5015,Yakurai,Asia,Japan,https://www.skiresort.info/ski-resort/yakurai/,2.2,112 m,215 m,327 m,0.6 km,0.6 km,0 km,0 km,2 ski lifts,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2343,2344,2,Blomberg – Bad Tölz/Wackersberg,Europe,Germany,https://www.skiresort.info/ski-resort/blomberg-bad-toelzwackersberg/,,536 m,700 m,1236 m,,,,,,,https://www.skiresort.info/typo3temp/_processed_/d7/77/70/0f/7825679b73.jpg,Blomberg_–_Bad_Tölz/Wackersberg_IDresort2.jpg,https://www.skiresort.info/ski-resorts/page/13/
2344,2345,11201,Słotwiny,Europe,Poland,https://www.skiresort.info/ski-resort/slotwiny/,2.2,198 m,681 m,879 m,3 km,3 km,0 km,0 km,4 ski lifts,"PLN 95,- / approx. € 21,-",https://www.skiresort.info/typo3temp/assets/_processed_/57/7d/dd/d1/61b7cc1e26.jpg,Słotwiny_IDresort11201.jpg,https://www.skiresort.info/ski-resorts/page/13/
2345,2346,31154,Olczań Ski,Europe,Poland,https://www.skiresort.info/ski-resort/olczan-ski/,2.2,90 m,868 m,958 m,1.8 km,1.2 km,0.5 km,0.1 km,5 ski lifts,"PLN 105,- / approx. € 23,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2346,2347,1994,Branná,Europe,Czech Republic,https://www.skiresort.info/ski-resort/branna/,2.2,120 m,630 m,750 m,2.2 km,1.1 km,1.1 km,0 km,4 ski lifts,"CZK 480,- / approx. € 18,-",https://www.skiresort.info/typo3temp/_processed_/ad/d1/19/94/9a7d254353.jpg,Branná_IDresort1994.jpg,https://www.skiresort.info/ski-resorts/page/13/
2347,2348,4582,Pikku-Syöte/Syötekeskus,Europe,Finland,https://www.skiresort.info/ski-resort/pikku-syoetesyoetekeskus/,2.2,121 m,255 m,376 m,10 km,10 km,0 km,0 km,5 ski lifts,"€ 28,-",https://www.skiresort.info/typo3temp/_processed_/70/07/76/61/66fca359c6.jpg,Pikku-Syöte/Syötekeskus_IDresort4582.jpg,https://www.skiresort.info/ski-resorts/page/13/
2348,2349,3915,Pian del Poggio – Monte Chiappo,Europe,Italy,https://www.skiresort.info/ski-resort/pian-del-poggio-monte-chiappo/,,358 m,1337 m,1695 m,,,,,,,https://www.skiresort.info/typo3temp/assets/_processed_/47/71/1d/df/afc29aa9e8.jpg,Pian_del_Poggio_–_Monte_Chiappo_IDresort3915.jpg,https://www.skiresort.info/ski-resorts/page/13/
2349,2350,30779,El Calafate,South America,Argentina,https://www.skiresort.info/ski-resort/el-calafate/,2.2,32 m,944 m,976 m,0.4 km,0.4 km,0 km,0 km,2 ski lifts,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2350,2351,4803,Utah Olympic Park,North America,USA,https://www.skiresort.info/ski-resort/utah-olympic-park/,2.2,58 m,2118 m,2176 m,0.2 km,0 km,0.2 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2351,2352,4603,Takamagahara Mammoth,Asia,Japan,https://www.skiresort.info/ski-resort/takamagahara-mammoth/,,230 m,1675 m,1905 m,,,,,,,https://www.skiresort.info/typo3temp/_processed_/c0/0b/b2/20/9899391509.jpg,Takamagahara_Mammoth_IDresort4603.jpg,https://www.skiresort.info/ski-resorts/page/13/
2352,2353,5226,Gamplüt,Europe,Switzerland,https://www.skiresort.info/ski-resort/gampluet/,2.2,269 m,1088 m,1357 m,2 km,0.3 km,1.7 km,0 km,2 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/6e/ee/ee/ee/da17b9a63e.jpg,Gamplüt_IDresort5226.jpg,https://www.skiresort.info/ski-resorts/page/13/
2353,2354,2522,Piękna Góra – Goldap,Europe,Poland,https://www.skiresort.info/ski-resort/piekna-gora-goldap/,2.2,80 m,195 m,275 m,2.3 km,1.9 km,0.4 km,0 km,5 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/0b/b3/3d/d7/53dfb1993e.jpg,Piękna_Góra_–_Goldap_IDresort2522.jpg,https://www.skiresort.info/ski-resorts/page/13/
2354,2355,31875,Northeast Asia Ski Center,Asia,China,https://www.skiresort.info/ski-resort/northeast-asia-ski-center/,,182 m,152 m,334 m,7 km,,,,9 ski lifts,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2355,2356,5957,Vauplane – Soleilhas (temporarily closed),Europe,France,https://www.skiresort.info/ski-resort/vauplane-soleilhas/,2.2,212 m,1597 m,1809 m,6 km,4.5 km,1 km,0.5 km,4 ski lifts,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2356,2357,29648,BaiYun,Asia,China,https://www.skiresort.info/ski-resort/baiyun/,,115 m,1715 m,1830 m,8 km,,,,5 ski lifts,,https://www.skiresort.info/typo3temp/assets/_processed_/b6/6e/ec/cb/cd39289df9.jpg,BaiYun_IDresort29648.jpg,https://www.skiresort.info/ski-resorts/page/13/
2357,2358,32575,Trans Snow World Juanda – Bekasi (indoor ski area),Asia,Indonesia,https://www.skiresort.info/ski-resort/trans-snow-world-juanda-bekasi/,2.2,20 m,23 m,43 m,0.2 km,0.2 km,0 km,0 km,1 ski lift,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2358,2359,11414,Ozolkalns,Europe,Latvia,https://www.skiresort.info/ski-resort/ozolkalns/,2.2,75 m,35 m,110 m,2.5 km,1.5 km,1 km,0 km,4 ski lifts,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2359,2360,3938,Pingshan,Asia,China,https://www.skiresort.info/ski-resort/pingshan/,,211 m,260 m,471 m,7 km,,,,5 ski lifts,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2360,2361,31865,Jiugong,Asia,China,https://www.skiresort.info/ski-resort/jiugong/,,7 km,,,,,,,,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2361,2362,31119,Mount Langya,Asia,China,https://www.skiresort.info/ski-resort/mount-langya/,,7 km,,,,,,,,,https://www.skiresort.info/typo3temp/assets/_processed_/89/99/9b/b9/a47be4b1b0.jpg,Mount_Langya_IDresort31119.jpg,https://www.skiresort.info/ski-resorts/page/13/
2362,2363,3637,Naltar,Asia,Pakistan,https://www.skiresort.info/ski-resort/naltar/,,80 m,2870 m,2950 m,,,,,,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2363,2364,2098,Cedar Highlands Ski Club,North America,Canada,https://www.skiresort.info/ski-resort/cedar-highlands-ski-club/,,,,,,,,,,,https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2364,2365,10832,Hlubočky,Europe,Czech Republic,https://www.skiresort.info/ski-resort/hlubocky/,2.2,90 m,284 m,374 m,1.7 km,0.7 km,1 km,0 km,4 ski lifts,"CZK 420,- / approx. € 16,-",https://www.skiresort.info/typo3temp/_processed_/55/5e/e4/49/c57c8e7760.jpg,Hlubočky_IDresort10832.jpg,https://www.skiresort.info/ski-resorts/page/13/
2365,2366,4261,Seebodenalp – Küssnacht,Europe,Switzerland,https://www.skiresort.info/ski-resort/seebodenalp-kuessnacht/,2.2,195 m,1030 m,1225 m,2.5 km,2 km,0.5 km,0 km,3 ski lifts,"SFr. 12,- / approx. € 11,-",https://www.skiresort.info/typo3temp/_processed_/22/29/9a/a6/5067502db6.jpg,Seebodenalp_–_Küssnacht_IDresort4261.jpg,https://www.skiresort.info/ski-resorts/page/13/
2366,2367,5905,Romme – Nancy-sur-Cluses,Europe,France,https://www.skiresort.info/ski-resort/romme-nancy-sur-cluses/,2.2,638 m,920 m,1558 m,3 km,1.3 km,1.4 km,0.3 km,4 ski lifts,"€ 12,-",https://www.skiresort.info/typo3temp/_processed_/bb/bd/d3/35/a1ee02fe3a.jpg,Romme_–_Nancy-sur-Cluses_IDresort5905.jpg,https://www.skiresort.info/ski-resorts/page/13/
2367,2368,5116,Muggenbrunn,Europe,Germany,https://www.skiresort.info/ski-resort/muggenbrunn/,2.2,263 m,980 m,1243 m,5 km,2.5 km,2.5 km,0 km,7 ski lifts,"€ 30,-",https://www.skiresort.info/typo3temp/_processed_/70/0c/c8/8a/42f6942f5b.jpg,Muggenbrunn_IDresort5116.jpg,https://www.skiresort.info/ski-resorts/page/13/
2368,2369,5087,Zlatar,Europe,Serbia,https://www.skiresort.info/ski-resort/zlatar/,2.2,214 m,1327 m,1541 m,0.8 km,0.8 km,0 km,0 km,2 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/47/79/93/3a/8a726934b8.jpg,Zlatar_IDresort5087.jpg,https://www.skiresort.info/ski-resorts/page/13/
2369,2370,33745,Malinovka,Russia,Northwest Russia,https://www.skiresort.info/ski-resort/malinovka/,2.2,96 m,69 m,165 m,1.1 km,1.1 km,0 km,0 km,2 ski lifts,,https://www.skiresort.info/typo3temp/assets/_processed_/81/13/3a/ae/8567fb256e.jpg,Malinovka_IDresort33745.jpg,https://www.skiresort.info/ski-resorts/page/13/
2370,2371,3187,Le Reposoir – Village,Europe,France,https://www.skiresort.info/ski-resort/le-reposoir-village/,2.2,102 m,1030 m,1132 m,5 km,4 km,1 km,0 km,4 ski lifts,"€ 15,-",https://www.skiresort.info/typo3temp/_processed_/04/46/61/16/b906c02462.jpg,Le_Reposoir_–_Village_IDresort3187.jpg,https://www.skiresort.info/ski-resorts/page/13/
2371,2372,3333,Mariánky – Mariánské Lázne,Europe,Czech Republic,https://www.skiresort.info/ski-resort/marianky-marianske-lazne/,2.2,110 m,648 m,758 m,1.6 km,1 km,0.6 km,0 km,3 ski lifts,"CZK 370,- / approx. € 14,-",https://www.skiresort.info/typo3temp/_processed_/7a/aa/a5/55/700809e025.jpg,Mariánky_–_Mariánské_Lázne_IDresort3333.jpg,https://www.skiresort.info/ski-resorts/page/13/
2372,2373,11106,Hochbärneck – St. Anton an der Jeßnitz,Europe,Austria,https://www.skiresort.info/ski-resort/hochbaerneck-st-anton-an-der-jessnitz/,2.2,160 m,880 m,1040 m,5 km,3 km,2 km,0 km,2 ski lifts,"€ 18,-",https://www.skiresort.info/typo3temp/_processed_/b5/5b/bb/bd/f32d7a6c16.jpg,Hochbärneck_–_St._Anton_an_der_Jeßnitz_IDresort11106.jpg,https://www.skiresort.info/ski-resorts/page/13/
2373,2374,1523,Teichalm – Fladnitz,Europe,Austria,https://www.skiresort.info/ski-resort/teichalm-fladnitz/,2.2,250 m,1200 m,1450 m,4 km,1 km,2 km,1 km,2 ski lifts,"€ 25,-",https://www.skiresort.info/typo3temp/_processed_/aa/a2/29/90/690e6bdb58.jpg,Teichalm_–_Fladnitz_IDresort1523.jpg,https://www.skiresort.info/ski-resorts/page/13/
2374,2375,2567,Grub-Kaien,Europe,Switzerland,https://www.skiresort.info/ski-resort/grub-kaien/,2.2,220 m,845 m,1065 m,6 km,2 km,4 km,0 km,1 ski lift,"SFr. 30,- / approx. € 27,-",https://www.skiresort.info/typo3temp/_processed_/7b/b3/31/15/5d8f40f00a.jpg,Grub-Kaien_IDresort2567.jpg,https://www.skiresort.info/ski-resorts/page/13/
2375,2376,511,Buchberg – Goldegg,Europe,Austria,https://www.skiresort.info/ski-resort/buchberg-goldegg/,2.2,393 m,832 m,1225 m,5 km,4 km,1 km,0 km,3 ski lifts,€ 38.50,https://www.skiresort.info/typo3temp/assets/_processed_/7c/c3/37/7c/222e7db9d7.jpg,Buchberg_–_Goldegg_IDresort511.jpg,https://www.skiresort.info/ski-resorts/page/13/
2376,2377,5860,Cherkassy – Vodyaniki,Europe,Ukraine,https://www.skiresort.info/ski-resort/cherkassy-vodyaniki/,2.2,52 m,163 m,215 m,1 km,1 km,0 km,0 km,2 ski lifts,"UAH 480,- / approx. € 14,-",https://www.skiresort.info/typo3temp/_processed_/0a/a6/63/3c/ec69783123.jpg,Cherkassy_–_Vodyaniki_IDresort5860.jpg,https://www.skiresort.info/ski-resorts/page/13/
2377,2378,33450,Renåfjellet,Europe,Norway,https://www.skiresort.info/ski-resort/renaafjellet/,2.2,221 m,637 m,858 m,6 km,5 km,1 km,0 km,1 ski lift,"NOK 320,- / approx. € 32,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2378,2379,3561,Mouthe – Massif du Noirmont,Europe,France,https://www.skiresort.info/ski-resort/mouthe-massif-du-noirmont/,2.2,235 m,937 m,1172 m,5.9 km,4.5 km,1.4 km,0 km,4 ski lifts,"€ 18,-",https://www.skiresort.info/typo3temp/_processed_/11/18/8b/bf/4e92043656.jpg,Mouthe_–_Massif_du_Noirmont_IDresort3561.jpg,https://www.skiresort.info/ski-resorts/page/13/
2379,2380,5966,Val d'Ese,Europe,France,https://www.skiresort.info/ski-resort/val-dese/,2.2,175 m,1625 m,1800 m,6.2 km,2.5 km,3.7 km,0 km,4 ski lifts,"€ 20,-",https://www.skiresort.info/,,https://www.skiresort.info/ski-resorts/page/13/
2380,2381,4491,Steg im Tösstal,Europe,Switzerland,https://www.skiresort.info/ski-resort/steg-im-toesstal/,2.2,300 m,700 m,1000 m,5 km,3 km,2 km,0 km,2 ski lifts,"SFr. 28,- / approx. € 25,-",https://www.skiresort.info/typo3temp/_processed_/70/02/25/5a/b68065c62f.jpg,Steg_im_Tösstal_IDresort4491.jpg,https://www.skiresort.info/ski-resorts/page/13/
2381,2382,5960,Goulier,Europe,France,https://www.skiresort.info/ski-resort/goulier/,2.2,307 m,1500 m,1807 m,6 km,4 km,2 km,0 km,4 ski lifts,"€ 19,-",https://www.skiresort.info/typo3temp/assets/_processed_/3f/f5/51/13/c7f31b6d5b.jpg,Goulier_IDresort5960.jpg,https://www.skiresort.info/ski-resorts/page/13/
2382,2383,5839,Golsfjellet,Europe,Norway,https://www.skiresort.info/ski-resort/golsfjellet/,2.2,247 m,870 m,1117 m,4 km,1 km,2 km,1 km,1 ski lift,"NOK 380,- / approx. € 38,-",https://www.skiresort.info/typo3temp/_processed_/9a/a5/51/18/5fce63dec0.jpg,Golsfjellet_IDresort5839.jpg,https://www.skiresort.info/ski-resorts/page/13/
2383,2384,4210,Sappee,Europe,Finland,https://www.skiresort.info/ski-resort/sappee/,2.2,105 m,102 m,207 m,5 km,2 km,3 km,0 km,6 ski lifts,"€ 43,-",https://www.skiresort.info/typo3temp/assets/_processed_/b6/6d/d4/48/5102a6999f.jpg,Sappee_IDresort4210.jpg,https://www.skiresort.info/ski-resorts/page/13/
2384,2385,29228,Janovky – Zuberec,Europe,Slovakia,https://www.skiresort.info/ski-resort/janovky-zuberec/,2.2,250 m,750 m,1000 m,6.3 km,3.8 km,2.5 km,0 km,4 ski lifts,"€ 24,-",https://www.skiresort.info/typo3temp/assets/_processed_/a6/6a/a4/44/b89030daeb.jpg,Janovky_–_Zuberec_IDresort29228.jpg,https://www.skiresort.info/ski-resorts/page/13/
2385,2386,5922,Le Petit Chamonix,North America,Canada,https://www.skiresort.info/ski-resort/le-petit-chamonix/,2.2,150 m,200 m,350 m,4 km,2 km,1 km,1 km,2 ski lifts,"C$ 28.74 / approx. € 19,-",https://www.skiresort.info/typo3temp/assets/_processed_/81/1a/a8/8a/a3e04758dc.jpg,Le_Petit_Chamonix_IDresort5922.jpg,https://www.skiresort.info/ski-resorts/page/13/
2386,2387,481,Maseben – Langtaufers (Vallelunga),Europe,Italy,https://www.skiresort.info/ski-resort/maseben-langtaufers-vallelunga/,2.2,408 m,1858 m,2266 m,5.8 km,2.9 km,2.9 km,0 km,1 ski lift,"€ 12,-",https://www.skiresort.info/typo3temp/_processed_/73/32/23/3d/1d2a3e0c32.jpg,Maseben_–_Langtaufers_(Vallelunga)_IDresort481.jpg,https://www.skiresort.info/ski-resorts/page/13/
